WomanID,Year,Age,Region,Origin,Relagion,NumKillers,Killer,Weapon,Known,IsWoman,Status,WhereBody,Background,BodyTime
1,04/01/2021,53,south,IL,jew,1,husband,bruteforce,no,no,suspect arrested,home,fight,hours
2,16/11/2020,37,north,IL,muslim,1,devorce,sharptool,yes,no,arrested,street,castidy,hours
3,19/10/2020,35,north,IL,muslim,1,partner,knife,no,no,suspect arrested,home,racism,hours
4,27/02/2021,69,north,IL,jew,2,son,bruteforce,no,no,suspect arrested,street,two brother attacked mother,hours
5,18/02/2021,76,north,unknown,unknown,1,son,knife,unknown,no,suspect arrested,home,mother son conflict,hours
6,05/02/2021,35,unknown,IL,jew,1,partner,pistol,no,no,suspect arrested,home,conflict,hours
7,19/10/2020,66,south,russian,jew,1,partner,hammer,no,no,suspect arrested,home,conflict,hours
8,10/09/2020,27,south,ILArab,muslim,1,unknown,pistol,yes,no,uncaught,street,brother threat,hours
9,02/07/2020,40,north,stranger,muslim,1,partner,knife,no,no,suspect arrested,stairs,marrige fight,hours
10,02/06/2020,28,south,ILArab,muslim,1,partner,bruteforce,no,no,uncaught,hospital,marrige fight,hours
11,01/03/2020,36,north,ILArab,muslim,1,brother,pistol,yes,no,uncaught,car,relatives fight,hours
12,01/05/2021,52,north,russian,unknown,2,son husband,byhands,no,no,suspect arrested,home,relatives fight ,hours
13,28/03/2020,21,south,ILArab,muslim,3,father brother neice,knife,no,no,suspect arrested,street,relatives fight,hours
14,16/05/2020,22,central,IL,jew,1,partner,byhands,no,no,suspect arrested,home,relatives fight,hours
15,02/05/2020,51,central,russian,unknown,1,partner,knife,no,no,suspect arrested,home,relatives fight ,hours
16,28/04/2020,31,central,nigger,unknown,1,partner,knife,yes,no,suspect arrested,home,relatives fight ,hours
17,17/04/2020,42,central,ILArab,unknown,1,unknown,pistol,no,no,uncaught,home,unknown,hours
18,18/03/2020,19,north,ILArab,muslim,1,unknown,pistol,no,no,suspect arrested,street,unknown,hours
19,14/03/2020,56,central,IL,unknown,1,partner,pistol,no,no,suspect arrested,street,relatives fight ,hours
20,17/01/2020,57,central,russian,unknown,1,partner,pistol,no,no,kill him self,home,relatives fight,hours
21,14/01/2020,35,south,ILArab,badui,1,partner,byhands,no,no,uncaught,home,relatives fight,hours
22,03/11/2019,70,south,IL,jew,1,partner,pistol,no,no,suspect arrested,home,relatives fight,hours
23,11/10/2019,29,north,russian,jew,1,partner,knife,no,no,suspect arrested,home,relatives fight ,hours
24,03/10/2019,32,south,IL,jew,1,partner,knife,no,no,suspect arrested,home,relatives fight ,hours
25,28/07/2019,83,north,ILArab,muslim,1,son,knife,yes,no,suspect arrested,home,relatives fight ,hours
26,26/07/2019,65,central,IL,unknown,1,son,knife,no,no,suspect arrested,home,relatives fight ,hours
27,28/04/2019,65,central,IL,unknown,1,son,byhands,no,no,suspect arrested,home,relatives fight ,hours
28,11/04/2019,19,central,ILArab,muslim,1,son,byhands,yes,no,suspect arrested,home,relatives fight ,weeks
29,30/03/2019,31,north,ILArab,muslim,1,partner,byhands,no,no,suspect arrested,home,relatives fight ,hours
30,13/03/2019,18,central,ILArab,muslim,1,unknown,pistol,yes,no,unknown,home,unknown,hours
31,06/03/2019,20,north,ILArab,muslim,2,brother father,byhands,no,no,suspect arrested,home,relatives fight ,hours
32,11/01/2019,54,global,IL,unknown,1,brother,unknown,no,no,suspect arrested,home,relatives fight ,hours
33,11/01/2019,63,south,IL,unknown,1,son,unknown,no,no,suspect arrested,home,relatives fight ,hours
34,27/12/2018,29,ramle,ILArab,unknown,2,relatives,pistol,no,no,suspect arrested,home,relatives fight ,hours
35,11/12/2018,29,north,ILArab,muslim,1,partner,knife,no,no,suspect arrested,home,relatives fight ,hours
36,26/11/2018,12,central,stranger,unknown,1,father,byhands,yes,no,suspect arrested,home,relatives fight ,hours
37,26/11/2018,16,north,ILArab,unknown,2,unknown,knife,no,no,suspect arrested,home,unknown,hours
38,21/11/2018,43,south,ILArab,unknown,1,brother,pistol,yes,no,suspect arrested,home,relatives fight ,hours
39,14/10/2018,36,central,nigger,unknown,1,partner,pistol,no,no,suspect arrested,home,relatives fight,hours
40,11/10/2018,51,central,IL,jew,1,partner,knife,yes,no,suspect arrested,home,relatives fight ,hours
41,28/09/2018,62,central,IL,jew,1,partner,pistol,no,no,kill him self,home,relatives fight,hours
42,25/09/2018,22,south,ILArab,muslim,unknown,unknown,pistol,no,no,suspect arrested,home,relatives fight ,hours
