WomanID,Year,Age,Region,Origin,Relagion,NumKillers,Killer,Weapon,Known,IsWoman,Status,WhereBody,Background,BodyTime
1,1609711200.0,53,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
2,1605477600.0,37,2.0,1.0,2.0,1,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0
3,1603054800.0,35,2.0,1.0,2.0,1,3.0,3.0,1.0,1.0,1.0,1.0,9.0,1.0
4,1614376800.0,69,2.0,1.0,1.0,2,4.0,1.0,1.0,1.0,1.0,2.0,11.0,1.0
5,1613599200.0,76,2.0,2.0,1.0,1,4.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0
6,1612476000.0,35,2.0,1.0,1.0,1,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0
7,1603054800.0,66,1.0,3.0,1.0,1,3.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0
8,1599685200.0,27,1.0,2.0,2.0,1,3.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0
9,1593637200.0,40,2.0,4.0,2.0,1,3.0,3.0,1.0,1.0,1.0,3.0,6.0,1.0
10,1591045200.0,28,1.0,2.0,2.0,1,3.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0
11,1583013600.0,36,2.0,2.0,2.0,1,5.0,4.0,2.0,1.0,3.0,5.0,10.0,1.0
12,1619816400.0,52,2.0,3.0,1.0,2,6.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0
13,1585342800.0,21,1.0,2.0,2.0,3,7.0,3.0,1.0,1.0,1.0,2.0,10.0,1.0
14,1589576400.0,22,3.0,1.0,1.0,1,3.0,6.0,1.0,1.0,1.0,1.0,10.0,1.0
15,1588366800.0,51,3.0,3.0,1.0,1,3.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0
16,1588021200.0,31,3.0,5.0,1.0,1,3.0,3.0,2.0,1.0,1.0,1.0,11.0,1.0
17,1587070800.0,42,3.0,2.0,1.0,1,3.0,4.0,1.0,1.0,3.0,1.0,10.0,1.0
18,1584482400.0,19,2.0,2.0,2.0,1,3.0,4.0,1.0,1.0,1.0,2.0,10.0,1.0
19,1584136800.0,56,3.0,1.0,1.0,1,3.0,4.0,1.0,1.0,1.0,2.0,11.0,1.0
20,1579212000.0,57,3.0,3.0,1.0,1,3.0,4.0,1.0,1.0,4.0,1.0,10.0,1.0
21,1578952800.0,35,1.0,2.0,3.0,1,3.0,6.0,1.0,1.0,3.0,1.0,10.0,1.0
22,1572732000.0,70,1.0,1.0,1.0,1,3.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0
23,1570741200.0,29,2.0,3.0,1.0,1,3.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0
24,1570050000.0,32,1.0,1.0,1.0,1,3.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0
25,1564261200.0,83,2.0,2.0,2.0,1,4.0,3.0,2.0,1.0,1.0,1.0,11.0,1.0
26,1564088400.0,65,3.0,1.0,1.0,1,4.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0
27,1556398800.0,65,3.0,1.0,1.0,1,4.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0
28,1554930000.0,19,3.0,2.0,2.0,1,4.0,6.0,2.0,1.0,1.0,1.0,11.0,4.0
29,1553893200.0,31,2.0,2.0,2.0,1,3.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0
30,1552428000.0,18,3.0,2.0,2.0,1,3.0,4.0,2.0,1.0,1.0,1.0,10.0,1.0
31,1551823200.0,20,2.0,2.0,2.0,2,8.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0
32,1547157600.0,54,4.0,1.0,1.0,1,5.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0
33,1547157600.0,63,1.0,1.0,1.0,1,4.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0
34,1545861600.0,29,5.0,2.0,1.0,2,9.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0
35,1544479200.0,29,2.0,2.0,2.0,1,3.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0
36,1543183200.0,12,3.0,4.0,1.0,1,10.0,6.0,2.0,1.0,1.0,1.0,11.0,1.0
37,1543183200.0,16,2.0,2.0,1.0,2,3.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0
38,1542751200.0,43,1.0,2.0,1.0,1,5.0,4.0,2.0,1.0,1.0,1.0,11.0,1.0
39,1539464400.0,36,3.0,5.0,1.0,1,3.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0
40,1539205200.0,51,3.0,1.0,1.0,1,3.0,3.0,2.0,1.0,1.0,1.0,11.0,1.0
41,1538082000.0,62,3.0,1.0,1.0,1,3.0,4.0,1.0,1.0,4.0,1.0,10.0,1.0
42,1537822800.0,22,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0
43,1533157200.0,37.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0
